trial_num,subj_code,seed,part,plan_or_exec,correct,reaction_time
1,,1,hand_l,plan,0,885.0
2,,1,foot_r,plan,1,389.0
3,,1,hand_r,exec,0,87.0
4,,1,hand_l,plan,0,344.0
5,,1,hand_r,plan,1,329.0
6,,1,hand_l,exec,0,266.0
7,,1,foot_l,exec,0,337.0
8,,1,hand_r,plan,1,327.0
9,,1,foot_l,exec,0,373.0
10,,1,foot_r,plan,1,388.0
11,,1,foot_r,exec,1,493.0
12,,1,foot_r,exec,1,265.0
13,,1,hand_r,plan,0,71.0
